Pros_No,married,own_home,household_size,income,age,zip_code
836,0,1,3,35,55,22301
837,0,1,3,60,62,20015
838,0,1,1,35,80,22192
839,1,1,5,45,51,20147
840,0,0,1,35,43,22903
841,1,1,3,35,51,8068
842,1,1,1,105,63,20850
843,1,1,3,90,74,21286
844,1,1,1,110,81,21228
845,0,1,1,60,48,21113
846,1,1,2,35,87,21224
847,0,1,3,35,80,20854
848,0,1,1,35,59,8723
849,0,1,3,175,54,20853
850,1,1,2,35,70,8753
851,0,1,3,35,50,8012
852,1,1,1,50,48,8534
853,0,1,4,35,58,22405
854,1,1,2,35,32,8055
855,0,1,4,175,57,20002
856,0,1,2,35,50,20910
857,1,1,2,65,61,8742
858,1,1,4,40,60,21146
859,0,1,1,35,56,23233
860,0,1,3,45,39,8004
861,0,1,3,50,71,8090
862,1,0,1,35,55,8753
863,0,1,1,175,57,20782
864,1,1,5,35,57,20008
865,1,1,6,35,51,22033
866,0,1,2,40,73,19083
867,0,1,3,35,46,21209
868,0,1,3,35,51,19010
869,1,1,2,165,48,22152
870,1,1,1,35,60,19020
871,0,1,2,35,66,21702
872,0,0,1,75,40,20850
873,0,1,2,35,83,21701
874,1,1,3,75,71,21212
875,1,1,3,35,58,8012
876,1,1,2,35,62,22901
877,1,1,2,35,56,20124
878,1,1,3,140,59,22308
879,1,1,3,165,45,22153
880,1,1,5,75,45,22192
881,0,0,1,35,41,22193
882,1,1,4,35,58,18940
883,1,1,3,50,44,21074
884,1,1,4,65,50,19446
885,1,1,2,35,85,20132
886,1,1,5,35,45,20148
887,0,1,1,40,57,8691
888,1,0,1,55,45,8048
889,0,1,1,35,50,19067
890,0,1,1,35,76,8755
891,1,1,4,50,45,21212
892,1,1,2,80,56,22309
893,0,1,2,35,37,19128
894,1,1,3,175,80,8016
895,1,1,1,35,44,20707
896,1,1,3,35,56,21061
897,1,1,2,175,43,22101
898,1,1,5,175,53,19067
899,1,1,6,35,54,8055
900,0,1,1,65,87,22192
901,1,1,1,175,62,20003
902,1,1,2,35,44,21403
903,1,1,2,40,59,23229
904,0,1,3,55,51,20141
905,0,0,1,70,47,22314
906,1,1,3,80,38,20878
907,0,1,1,35,46,19147
908,1,1,7,35,39,22124
909,1,1,4,145,26,19106
910,0,1,5,65,84,19103
911,1,1,4,95,53,20906
912,1,1,4,35,75,20815
913,1,1,3,55,72,8406
914,1,1,2,90,80,8084
915,0,1,4,35,56,19083
916,1,0,2,35,52,18901
917,1,1,3,35,57,20854
918,0,0,1,60,41,20878
919,1,1,2,140,36,8691
920,0,1,4,35,73,22030
921,1,1,4,175,67,20707
922,1,1,2,40,71,22314
923,1,1,2,130,53,21122
924,1,1,7,160,49,22066
